,puuid,gameList
16,j3K1kTgcUBXTJ7P0e50pVrdIPKPus51vZbfdcTTgsTMTnsS0bGW6oq67od6tOBut3p2H9koWbIRXJw,"['NA1_4333156058', 'NA1_4332255542', 'NA1_4332251428', 'NA1_4332245157', 'NA1_4331196854', 'NA1_4331222835', 'NA1_4329940559', 'NA1_4329927206', 'NA1_4329923716', 'NA1_4329890543']"
17,Y5ZRPRFvkQwtpGAjN3NJNAqKG49rvN9CLBaQsFDFmuPo8HhxN6ZzD9QWfxpboPTarKsHtiKC_km0tg,"['NA1_4284447987', 'NA1_4284473917', 'NA1_4280346574', 'NA1_4280319386', 'NA1_4279959377', 'NA1_4279976824', 'NA1_4278037992', 'NA1_4278073879', 'NA1_4278051826', 'NA1_4277301588']"
18,fzmtNyHMmFbtcvShxNhEf7yANedE-kAQBPrWT53J8wwPGzSFe3XecLAQIAFkWg49NJPQEncwAMP8sg,"['NA1_4334269854', 'NA1_4334223085', 'NA1_4334030700', 'NA1_4333993494', 'NA1_4332801693', 'NA1_4332763442', 'NA1_4332551428', 'NA1_4332498296', 'NA1_4332449435', 'NA1_4332446450']"
19,RdWODmLVTQJ4CRXbZKn0iYaztB0y0Vse7USw2TtIJaKOFYGGmhg8mH_Oeqmziq1vnLXWfpIyx6g4uw,"['NA1_4333950458', 'NA1_4333898052', 'NA1_4331045193', 'NA1_4331011004', 'NA1_4324411001', 'NA1_4323426163', 'NA1_4323413016', 'NA1_4318735294', 'NA1_4318771898', 'NA1_4316868611']"
20,hSpL2SrxlO4Qux2n84sOGzRyho3-AN3nMvI4WqpxrjMtpCMJHSlEB71fARfUotJ9-ShCYCB16Wh5DA,"['NA1_4332515704', 'NA1_4327508241', 'NA1_4327475953', 'NA1_4327473291', 'NA1_4324000476', 'NA1_4323909767', 'NA1_4323693919', 'NA1_4319165250', 'NA1_4319153168', 'NA1_4319118873']"
21,wmnG0o-bRdNHcSxdSL2ptxGlkmnCmjecUPatofxZ61RmFssR4qfHsLbU41lAnSv0TyFGpOYBn5ZEdA,"['NA1_4317150207', 'NA1_4317087317', 'NA1_4316107670', 'NA1_4316085750', 'NA1_4316073858', 'NA1_4315475160', 'NA1_4315480236', 'NA1_4315403465', 'NA1_4315390549', 'NA1_4315365715']"
22,8MNfKYsezbI15lqGKwiSDqnQSWtQRC8xogrIRUe9qIJxU12FissyZ97azDO9xZnlYEVcG8YTI8shvw,"['NA1_4333959825', 'NA1_4329963733', 'NA1_4329896499', 'NA1_4328966815', 'NA1_4328960431', 'NA1_4328241747', 'NA1_4328187954', 'NA1_4328155186', 'NA1_4327665560', 'NA1_4326902113']"
23,BnjXB715RW39pNb8_Bqm45M7iLm_mSdmr71-a0HASgDviXOMTiXQVJ2wXKz24CQHWsScrentnIxzpQ,"['NA1_4330287094', 'NA1_4330285984', 'NA1_4330273050', 'NA1_4330179478', 'NA1_4330166844', 'NA1_4330134707', 'NA1_4329726743', 'NA1_4329701475', 'NA1_4329633312', 'NA1_4329255626']"
24,nwLVr5m3FhAYJlEyzAtjgWgPBNuY-E-wHMJx-i3pq_9hBioyjTH9Zo75BvPNj7TuByeMgsIjms3XOw,"['NA1_4300768884', 'NA1_4268626252', 'NA1_4268653321', 'NA1_4265413313', 'NA1_4265287012', 'NA1_4243166127', 'NA1_4205443863', 'NA1_4205398530', 'NA1_4205409937', 'NA1_4192485844']"
25,JbJAYiB2A0xgkww5-pX4LPDCV0_R8kQgWrvh1G_0lgLUSgZxFIPYb_7DxflPOaB00op2E0n3DwICTQ,"['NA1_4331341032', 'NA1_4331244414', 'NA1_4331251657', 'NA1_4331188996', 'NA1_4331186701', 'NA1_4307993617', 'NA1_4307981710', 'NA1_4298940978', 'NA1_4298910635', 'NA1_4298888866']"
